price,carat,clarity,cut,color,depth,table,x,y,z,date
1286,0.5,SI1,Ideal,F,62.7,56,5.12,5.05,3.19,2012-02-26
549,0.38,VS2,Very Good,I,62.4,56,4.65,4.58,2.88,2012-02-26
5105,1.03,SI1,Premium,H,59.2,60,6.62,6.58,3.91,2012-02-26
1845,0.5,VS2,Ideal,E,63.8,54,5.07,5.05,3.23,2012-02-26
2262,0.71,SI1,Premium,F,60.3,60,5.76,5.79,3.48,2012-02-26
666,0.33,VS1,Very Good,G,62,59,4.36,4.42,2.72,2012-02-26
8974,1.5,VS2,Very Good,I,60.1,60,7.38,7.35,4.43,2012-02-26
4877,1.11,SI2,Good,D,60.1,63,6.68,6.7,4.02,2012-02-26
5057,0.91,VS1,Very Good,E,62.8,60,6.08,6.11,3.83,2012-02-26
819,0.3,VVS1,Premium,H,61.1,61,4.3,4.27,2.62,2012-02-26
1218,0.38,IF,Ideal,F,62.2,54,4.65,4.68,2.9,2012-02-26
1431,0.41,IF,Ideal,G,62.4,54,4.78,4.74,2.97,2012-02-26
14372,1.5,VS2,Premium,F,61.3,61,7.36,7.33,4.5,2012-02-26
906,0.35,VS2,Ideal,F,60.5,57,4.6,4.52,2.76,2012-02-26
8202,1.07,VS2,Ideal,D,62.5,57,6.48,6.51,4.06,2012-02-26
2898,0.79,SI1,Ideal,G,62.3,57,5.9,5.85,3.66,2012-02-26
1740,0.71,SI2,Premium,G,62,59,5.69,5.65,3.52,2012-02-26
1235,0.57,SI2,Very Good,F,60.1,56,5.4,5.42,3.25,2012-02-26
688,0.41,SI1,Ideal,G,61.7,54,4.78,4.81,2.96,2012-02-26
3774,0.83,VVS1,Very Good,I,61.8,56,6,6.03,3.72,2012-02-26
1656,0.51,VS1,Ideal,G,61,55,5.11,5.21,3.15,2012-02-26
13427,1.68,VS2,Ideal,H,61.3,56,7.77,7.67,4.73,2012-02-26
965,0.3,VVS1,Good,F,63.7,59,4.24,4.17,2.68,2012-02-26
10090,1.3,VS2,Premium,F,60.4,59,7.12,7.06,4.28,2012-02-26
17904,1.74,VS1,Premium,G,62.4,58,7.71,7.61,4.78,2012-02-26
547,0.26,VVS2,Very Good,E,64.3,57,3.99,4.03,2.58,2012-02-26
439,0.23,VVS1,Good,E,59.9,65,3.93,3.95,2.36,2012-02-26
3115,0.7,VS2,Good,E,60.3,60,5.69,5.75,3.45,2012-02-26
12468,1.5,VS2,Ideal,G,62.6,56,7.3,7.26,4.56,2012-02-26
3761,1.01,SI2,Premium,I,60.5,61,6.47,6.42,3.9,2012-02-26
1636,0.51,VS1,Very Good,E,62,61,5.11,5.14,3.18,2012-02-26
3199,1,SI2,Fair,J,56.3,64,6.58,6.54,3.69,2012-02-26
5433,1.01,SI1,Very Good,H,62.9,56,6.34,6.41,4.01,2012-02-26
1378,0.46,VS1,Very Good,G,60,56,5.05,5.1,3.04,2012-02-26
730,0.34,VS2,Very Good,D,60,59,4.5,4.56,2.72,2012-02-26
904,0.43,VS2,Ideal,F,61.5,56,4.85,4.89,2.99,2012-02-26
942,0.31,VS2,Ideal,D,61.3,57,4.4,4.37,2.69,2012-02-26
452,0.3,SI2,Premium,G,62.7,55,4.29,4.26,2.68,2012-02-26
5893,1.21,SI1,Good,H,63.6,56,6.63,6.68,4.23,2012-02-26
6247,1.01,VS1,Good,G,58.7,62,6.49,6.55,3.83,2012-02-26
3145,0.71,VS2,Ideal,E,60.1,59,5.79,5.83,3.49,2012-02-26
5242,1,VS1,Premium,G,61.9,60,6.39,6.31,3.93,2012-02-26
4334,0.88,VVS1,Ideal,H,62,59,6.12,6.13,3.8,2012-02-26
914,0.31,IF,Ideal,F,62.2,55,4.35,4.37,2.71,2012-02-26
932,0.36,VS1,Premium,G,62.2,59,4.57,4.53,2.83,2012-02-26
2729,0.77,SI2,Ideal,F,61.3,56,5.89,5.92,3.62,2012-02-26
3633,1.02,SI2,Fair,F,66.6,58,6.21,6.14,4.11,2012-02-26
2835,0.63,VVS2,Ideal,F,61.9,57,5.47,5.51,3.4,2012-02-26
4989,1.01,SI1,Good,F,63.6,58,6.37,6.31,4.03,2012-02-26
1264,0.43,VVS1,Premium,G,62.3,59,4.83,4.77,2.99,2012-02-26
882,0.38,VS1,Ideal,G,62,55,4.64,4.68,2.89,2012-02-26
8647,1.01,VVS1,Ideal,G,61.1,56,6.51,6.49,3.97,2012-02-26
3649,0.73,VS2,Ideal,E,61.7,57,5.77,5.8,3.57,2012-02-26
810,0.4,VS1,Ideal,J,62.6,55,4.75,4.71,2.96,2012-02-26
5102,1.04,SI1,Ideal,H,62.3,57,6.45,6.48,4.03,2012-02-26
7239,1.39,VS1,Premium,J,60.8,58,7.26,7.21,4.4,2012-02-26
6777,1.08,VS2,Very Good,G,60.6,58,6.65,6.71,4.05,2012-02-26
3662,0.9,SI2,Very Good,E,62.6,60,6.09,6.18,3.84,2012-02-26
1772,0.54,VS1,Ideal,F,60.9,57,5.21,5.26,3.19,2012-02-26
11401,1.28,IF,Ideal,G,62,55.6,6.94,6.96,4.31,2012-02-26
1000,0.51,SI1,Ideal,I,61.9,54,5.12,5.15,3.18,2012-02-26
11182,1.2,VVS1,Good,F,63.6,57,6.74,6.71,4.28,2012-02-26
800,0.41,VS2,Very Good,G,61.4,57,4.76,4.81,2.94,2012-02-26
3243,0.68,VS1,Ideal,E,61.3,55,5.67,5.71,3.49,2012-02-26
8248,1.03,VVS1,Ideal,G,62,56,6.5,6.54,4.04,2012-02-26
1781,0.53,VVS1,Ideal,H,61.3,56,5.22,5.24,3.21,2012-02-26
1192,0.41,VVS2,Premium,F,60.1,59,4.82,4.79,2.89,2012-02-26
1927,0.62,SI1,Ideal,D,60.8,59,5.48,5.5,3.34,2012-02-26
6289,0.9,VVS2,Very Good,E,62.2,60,6.04,6.12,3.78,2012-02-26
5018,1,VS1,Good,I,63.7,56,6.34,6.32,4.03,2012-02-26
10967,1.02,IF,Very Good,F,62.5,58,6.39,6.54,4.04,2012-02-26
799,0.27,VVS2,Premium,D,62.2,59,4.12,4.08,2.55,2012-02-26
814,0.3,VVS1,Ideal,F,61.8,57,4.3,4.34,2.67,2012-02-26
4559,1.01,SI1,Premium,H,59.8,60,6.48,6.52,3.89,2012-02-26
17460,2.2,VS2,Ideal,H,61.7,55,8.41,8.38,5.18,2012-03-11
3242,0.79,SI1,Ideal,D,61.2,56,5.95,6.02,3.66,2012-03-11
2968,0.9,SI2,Ideal,G,62.4,57,6.16,6.13,3.84,2012-03-11
1447,0.5,VS2,Good,F,61.3,61,5.05,5.1,3.11,2012-03-11
2074,0.7,SI1,Very Good,G,60.7,58,5.7,5.73,3.47,2012-03-11
3945,0.9,SI1,Fair,D,66.1,55,5.98,5.92,3.93,2012-03-11
4434,1.01,SI2,Very Good,E,63.3,58,6.39,6.37,4.04,2012-03-11
5880,1,SI1,Ideal,E,61.6,55,6.45,6.43,3.97,2012-03-11
666,0.38,SI1,Ideal,G,62.4,57,4.62,4.65,2.89,2012-03-11
965,0.39,VVS2,Very Good,F,61.7,56,4.7,4.74,2.91,2012-03-11
4011,1.27,VS2,Premium,J,62.8,58,6.96,6.92,4.36,2012-03-11
1408,0.58,VS2,Very Good,I,61.7,54.1,5.37,5.4,3.32,2012-03-11
4362,1.01,SI2,Premium,G,62.4,58,6.38,6.41,3.99,2012-03-11
5825,0.91,VS2,Very Good,D,59.6,58,6.32,6.34,3.77,2012-03-11
3195,0.73,SI1,Ideal,D,62.4,53,5.79,5.82,3.62,2012-03-11
1073,0.46,VS2,Ideal,I,62.2,56,4.96,4.9,3.07,2012-03-11
673,0.3,VS1,Ideal,G,61.1,56,4.36,4.35,2.66,2012-03-11
735,0.41,VS1,Fair,I,65.3,58,4.62,4.66,3.03,2012-03-11
5254,1,VS2,Good,H,60.9,61,6.38,6.42,3.9,2012-03-11
1805,0.71,SI2,Very Good,J,60.7,61,5.75,5.81,3.51,2012-03-11
984,0.35,VS2,Premium,E,60.7,60,4.58,4.55,2.77,2012-03-11
552,0.3,SI1,Ideal,D,61.4,56,4.32,4.35,2.66,2012-03-11
722,0.41,SI1,Ideal,H,62.4,53,4.78,4.81,2.99,2012-03-11
2110,0.7,SI2,Ideal,H,62.1,55,5.69,5.72,3.54,2012-03-11
3478,0.72,VS1,Ideal,G,61.3,56,5.75,5.8,3.54,2012-03-11
1041,0.37,VS2,Ideal,E,62.7,56,4.6,4.55,2.87,2012-03-11
13016,2.07,SI2,Fair,D,64.5,60,7.99,7.88,5.12,2012-03-11
586,0.27,VVS2,Very Good,E,61.8,59,4.14,4.18,2.57,2012-03-11
7466,1.01,VS1,Good,E,63.6,54,6.38,6.32,4.04,2012-03-11
783,0.25,VVS1,Ideal,E,62.3,53,4.08,4.11,2.55,2012-03-11
1097,0.57,SI2,Premium,I,62.1,60,5.32,5.27,3.29,2012-03-11
1415,0.5,VS2,Premium,G,60.2,60,5.21,5.15,3.12,2012-03-11
4405,1,SI1,Good,H,61.6,61,6.29,6.35,3.89,2012-03-11
838,0.42,SI2,Very Good,D,63.2,57,4.77,4.75,3.01,2012-03-11
4077,1,SI2,Very Good,E,59.5,63,6.47,6.41,3.83,2012-03-11
2136,0.7,SI1,Very Good,I,62.2,58,5.63,5.66,3.51,2012-03-11
2498,0.72,SI1,Fair,E,56.9,61,5.91,5.97,3.38,2012-03-11
4791,1,VS2,Premium,H,63,59,6.43,6.34,4.02,2012-03-11
748,0.35,SI1,Ideal,F,62.4,55,4.55,4.52,2.83,2012-03-11
6946,1.28,SI1,Premium,H,62.3,58,7,6.94,4.34,2012-03-11
758,0.32,VS2,Ideal,D,61.5,56,4.41,4.44,2.72,2012-03-11
1664,0.56,VS2,Ideal,F,62,56,5.27,5.31,3.28,2012-03-11
2173,0.71,SI2,Ideal,F,62.2,56,5.76,5.7,3.56,2012-03-11
4662,1.02,VS2,Premium,I,59.5,59,6.54,6.5,3.88,2012-03-11
14150,2.01,SI2,Very Good,H,63.2,57,8.02,7.97,5.05,2012-03-11
1842,0.53,VVS1,Ideal,H,61.2,56,5.25,5.27,3.22,2012-03-11
988,0.39,VS1,Ideal,D,61.8,54,4.69,4.73,2.91,2012-03-11
5113,1.06,SI1,Premium,G,61.5,59,6.57,6.53,4.03,2012-03-11
707,0.31,VVS2,Very Good,E,60.5,56,4.39,4.47,2.68,2012-03-11
593,0.3,VVS1,Premium,H,61.3,58,4.3,4.32,2.64,2012-03-11
1644,0.54,VS2,Good,D,60.9,60,5.28,5.36,3.24,2012-03-11
3182,0.73,VS2,Very Good,D,63.5,58,5.68,5.72,3.62,2012-03-11
2389,0.7,VVS1,Very Good,I,58.8,61,5.78,5.82,3.41,2012-03-11
447,0.34,SI2,Very Good,F,63,58,4.45,4.47,2.81,2012-03-11
6900,1.01,VS2,Premium,F,59.2,61,6.59,6.55,3.89,2012-03-11
5030,1,SI1,Very Good,F,63.8,56,6.25,6.29,4,2012-03-11
2947,0.82,VS2,Good,H,62.4,54,5.97,6.04,3.75,2012-03-11
4282,1.13,SI2,Very Good,F,62.3,59,6.65,6.68,4.15,2012-03-11
4444,1.24,SI2,Premium,H,62.3,58,6.84,6.8,4.25,2012-03-11
787,0.39,VS2,Premium,G,61.2,60,4.68,4.73,2.88,2012-03-11
4859,1,SI1,Good,G,61.9,61,6.36,6.4,3.95,2012-03-11
2081,0.68,VS2,Premium,G,61.6,59,5.65,5.64,3.48,2012-03-11
776,0.3,VS2,Premium,F,62.7,58,4.3,4.25,2.68,2012-03-11
5101,1.03,SI1,Premium,E,61.3,60,6.53,6.51,4,2012-03-11
596,0.34,VS2,Premium,G,61.2,58,4.46,4.5,2.74,2012-03-11
828,0.32,VS2,Ideal,F,61.3,57,4.4,4.37,2.69,2012-03-11
3167,0.71,VVS1,Ideal,G,62.1,56,5.72,5.84,3.59,2012-03-11
16231,2.01,SI2,Good,F,64.1,57,7.82,7.78,5,2012-03-11
4130,0.82,VVS2,Ideal,G,62.1,56,5.97,6.01,3.72,2012-03-11
2559,0.73,SI2,Ideal,E,60.9,57,5.8,5.83,3.54,2012-03-11
1401,0.52,VS2,Ideal,H,61.6,55,5.19,5.24,3.21,2012-03-11
1381,0.51,SI1,Premium,E,62.4,59,5.07,5.12,3.18,2012-03-11
2359,0.72,SI1,Ideal,H,61.7,54,5.77,5.81,3.57,2012-03-11
1600,0.52,SI1,Ideal,D,61.8,57,5.14,5.19,3.19,2012-03-11
538,0.36,SI1,Ideal,H,62.3,53,4.57,4.61,2.86,2012-03-11
791,0.41,SI1,Premium,D,59.6,59,4.82,4.85,2.88,2012-03-11
6181,1.05,VS2,Premium,G,61.8,58,6.59,6.52,4.05,2012-03-11
1554,0.52,VS2,Good,E,63.3,56,5.08,5.12,3.23,2012-03-11
2770,0.73,VS2,Premium,G,61.4,59,5.83,5.76,3.56,2012-03-11
3557,0.91,SI2,Ideal,G,61.8,56,6.21,6.24,3.85,2012-03-11
1002,0.33,VS1,Premium,E,61.6,58,4.45,4.41,2.73,2012-03-11
6133,1.04,VS2,Ideal,H,62.2,57,6.46,6.49,4.03,2012-03-11
4084,1.02,SI2,Very Good,I,62.6,56,6.41,6.44,4.02,2012-03-11
4398,1.02,SI2,Ideal,H,60.7,57,6.54,6.51,3.96,2012-03-11
4901,1,SI2,Very Good,F,62.6,59,6.34,6.38,3.98,2012-03-11
684,0.3,VVS2,Ideal,G,60.6,57,4.33,4.35,2.63,2012-03-11
2321,0.53,VS1,Premium,D,61.3,58,5.27,5.2,3.21,2012-03-11
7473,1.11,VS2,Ideal,F,61.7,55,6.65,6.67,4.11,2012-03-11
1441,0.4,VVS1,Ideal,D,60.3,57,4.81,4.78,2.89,2012-03-11
2972,0.81,SI1,Very Good,E,63.8,58,5.85,5.97,3.77,2012-03-11
4405,1.05,SI1,Ideal,J,61.5,55,6.53,6.57,4.03,2012-03-11
1175,0.55,SI2,Ideal,F,62.3,57,5.22,5.27,3.27,2012-03-11
485,0.24,VVS2,Very Good,D,58.7,61,4.04,4.07,2.38,2012-03-11
2098,0.71,SI2,Very Good,F,63.6,56,5.58,5.67,3.58,2012-03-11
1546,0.51,VS2,Ideal,G,62.7,57,5.12,5.05,3.19,2012-03-19
6213,1.07,VS2,Premium,G,61.9,60,6.55,6.48,4.03,2012-03-19
1009,0.31,VVS2,Very Good,D,60.5,56,4.38,4.41,2.66,2012-03-19
1267,0.52,SI1,Very Good,F,62.6,58,5.11,5.14,3.21,2012-03-19
8645,1.5,SI2,Premium,H,62.3,60,7.3,7.22,4.52,2012-03-19
2348,0.91,SI1,Good,I,64,58,6.01,5.99,3.84,2012-03-19
7631,1.54,SI2,Premium,I,61.2,58,7.51,7.43,4.57,2012-03-19
1980,0.55,VVS1,Premium,H,61.1,57,5.35,5.26,3.24,2012-03-19
362,0.26,SI2,Ideal,H,62.5,53,4.09,4.13,2.57,2012-03-19
2516,0.71,SI1,Very Good,E,63.2,57,5.72,5.67,3.6,2012-03-19
1100,0.51,SI2,Very Good,G,63.2,57,5.07,5.03,3.19,2012-03-19
474,0.26,SI1,Ideal,H,60.5,58,4.16,4.17,2.52,2012-03-19
2675,0.52,VVS2,Ideal,E,61.3,56,5.18,5.2,3.18,2012-03-19
5986,1.2,VS2,Very Good,I,62.1,60,6.78,6.72,4.19,2012-03-19
631,0.36,SI1,Very Good,E,62.9,56,4.52,4.57,2.86,2012-03-19
1060,0.31,IF,Ideal,E,61.9,56,4.35,4.37,2.7,2012-03-19
6108,1.01,VS2,Ideal,G,61.8,56,6.45,6.42,3.98,2012-03-19
743,0.33,SI1,Ideal,E,62.5,55,4.45,4.42,2.77,2012-03-19
2562,0.72,SI1,Very Good,E,62,57,5.73,5.76,3.56,2012-03-19
616,0.37,SI1,Very Good,F,62.3,59,4.57,4.61,2.86,2012-03-19
693,0.33,SI1,Very Good,E,63.1,56,4.45,4.42,2.8,2012-03-19
642,0.28,VVS2,Very Good,F,59.7,59,4.26,4.28,2.55,2012-03-19
9123,1.24,VS1,Ideal,G,60.1,58,7.03,6.97,4.21,2012-03-19
4135,0.9,VS2,Very Good,G,63.4,59,6.08,6.13,3.87,2012-03-19
4744,1.2,SI2,Ideal,J,63.3,54,6.78,6.72,4.27,2012-03-19
5038,1.02,SI1,Very Good,F,62.1,63,6.48,6.36,3.99,2012-03-19
3550,0.72,SI1,Ideal,D,60.5,56,5.79,5.84,3.52,2012-03-19
2042,0.7,VVS1,Very Good,J,63.3,55,5.63,5.68,3.58,2012-03-19
1975,0.55,VS1,Premium,D,62,58,5.26,5.28,3.27,2012-03-19
2035,1,I1,Fair,I,64.5,58,6.33,6.1,4.01,2012-03-19
1793,0.61,SI1,Good,E,61.3,61,5.4,5.44,3.32,2012-03-19
4286,0.9,SI1,Very Good,E,62.9,56,6.09,6.12,3.84,2012-03-19
5540,1.21,VS1,Premium,I,61.2,59,6.86,6.84,4.19,2012-03-19
4312,1,SI2,Very Good,E,60.6,61,6.39,6.44,3.89,2012-03-19
521,0.33,VS2,Very Good,H,62.2,57,4.42,4.46,2.76,2012-03-19
844,0.3,VS2,Ideal,E,62,55,4.35,4.3,2.68,2012-03-19
6169,1.02,VS2,Premium,G,62.7,58,6.45,6.4,4.03,2012-03-19
12342,1.52,SI1,Premium,D,58.4,60,7.57,7.52,4.41,2012-03-19
4488,1.06,SI1,Good,F,57,64,6.8,6.71,3.85,2012-03-19
1328,0.53,SI1,Good,E,57.8,57,5.33,5.29,3.07,2012-03-19
1569,0.5,VS1,Very Good,G,62.9,58,5.06,5.08,3.19,2012-03-19
500,0.31,VS2,Very Good,F,62.7,57,4.31,4.36,2.72,2012-03-19
4155,0.9,VS2,Very Good,H,62,57,6.1,6.16,3.8,2012-03-19
4708,1.14,SI1,Ideal,J,61.7,54,6.71,6.74,4.15,2012-03-19
5215,1.01,SI1,Ideal,F,59.9,60,6.59,6.53,3.93,2012-03-19
5921,1.32,SI2,Premium,I,58.4,60,7.24,7.15,4.2,2012-03-19
544,0.31,VS2,Premium,G,61.2,58,4.32,4.37,2.66,2012-03-19
5530,0.91,VS1,Very Good,E,61.8,60,6.17,6.2,3.82,2012-03-19
5804,1,SI1,Ideal,D,61.9,57,6.39,6.41,3.96,2012-03-19
1422,0.43,VVS1,Premium,F,61.5,56,4.9,4.86,3,2012-03-19
2079,0.52,VVS2,Very Good,F,61.5,57,5.18,5.22,3.19,2012-03-19
8098,1.04,VVS2,Premium,G,61.8,58,6.51,6.47,4.01,2012-03-19
2531,0.71,SI1,Very Good,E,63,58,5.68,5.72,3.59,2012-03-19
6244,1.01,VS2,Premium,F,61.5,58,6.41,6.46,3.96,2012-03-19
1036,0.51,SI2,Premium,F,62.8,60,5.1,5.03,3.18,2012-03-19
16389,2.04,SI2,Very Good,G,59.9,58,8.26,8.31,4.96,2012-03-19
1752,0.5,VS2,Very Good,D,62.9,61,4.96,5.03,3.14,2012-03-19
675,0.3,SI1,Good,E,63.7,58,4.27,4.24,2.71,2012-03-19
7916,1.19,VS2,Ideal,D,60.4,56,6.87,6.93,4.17,2012-03-19
10937,1.55,SI2,Ideal,F,61.9,55,7.44,7.4,4.6,2012-03-19
3092,0.7,VS2,Ideal,D,62.3,55,5.67,5.7,3.54,2012-03-19
1736,0.46,VVS1,Premium,F,61.4,57,4.99,4.95,3.05,2012-03-19
6610,1.03,SI1,Ideal,D,61.3,56,6.48,6.54,3.99,2012-03-19
830,0.41,VS1,Premium,J,62,55,4.77,4.74,2.95,2012-03-19
9569,1.51,VS1,Good,I,62,56,7.23,7.29,4.5,2012-03-19
1207,0.43,VVS1,Premium,G,62,59,4.8,4.82,2.98,2012-03-19
645,0.32,VS2,Ideal,F,61.1,57,4.4,4.44,2.7,2012-03-19
945,0.3,VVS2,Premium,F,62.4,58,4.28,4.25,2.66,2012-03-19
1712,0.56,VS1,Very Good,F,62,59,5.3,5.34,3.3,2012-03-19
2124,0.59,SI1,Very Good,F,63.1,57,5.39,5.36,3.39,2012-03-19
1214,0.5,SI1,Good,F,59.6,61,5.12,5.19,3.07,2012-03-19
3145,0.9,SI1,Fair,G,65.6,56,6.1,6.03,3.98,2012-03-19
10572,1.86,SI2,Premium,G,62.5,60,7.9,7.8,4.91,2012-03-19
2668,0.76,VS2,Ideal,H,62.7,57,5.82,5.86,3.66,2012-03-19
11156,2,SI2,Fair,G,65.1,54,7.88,7.82,5.11,2012-03-19
4432,0.9,VS2,Good,F,63.3,57,6.11,6.15,3.88,2012-03-19
1268,0.53,SI1,Good,F,63.8,56,5.13,5.16,3.28,2012-03-19
698,0.31,VS1,Premium,H,61.5,61,4.34,4.31,2.66,2012-03-19
572,0.33,SI1,Good,I,63.6,57,4.42,4.39,2.8,2012-03-19
816,0.31,VVS2,Ideal,E,61.6,55,4.35,4.38,2.69,2012-03-19
11007,1.5,VS1,Premium,H,61.1,58,7.46,7.37,4.53,2012-03-19
5799,1.09,SI1,Premium,D,61.6,58,6.61,6.57,4.06,2012-03-19
5599,1.01,SI1,Ideal,E,62.6,57,6.43,6.38,4.01,2012-03-19
7404,1.13,VS1,Ideal,G,61.7,54,6.77,6.71,4.16,2012-03-19
7025,1.05,VS2,Premium,F,62.6,58,6.47,6.5,4.06,2012-03-19
422,0.3,SI2,Very Good,H,63.4,55,4.26,4.22,2.69,2012-03-19
4784,1.09,SI1,Ideal,H,62.2,56,6.56,6.59,4.09,2012-03-19
868,0.33,VVS1,Premium,G,60.9,58,4.43,4.47,2.71,2012-03-19
3607,1.13,I1,Ideal,F,62.2,55,6.68,6.63,4.14,2012-03-19
14502,2.01,SI1,Premium,F,59.5,58,8.21,8.18,4.88,2012-03-19
4592,0.9,VS1,Ideal,H,61.6,56,6.17,6.13,3.79,2012-03-19
3050,0.81,SI2,Ideal,E,62.1,57,5.97,5.91,3.69,2012-03-19
2319,0.7,SI1,Premium,F,61.9,58,5.69,5.65,3.51,2012-03-19
5217,1.23,VS2,Ideal,J,61.5,57,6.9,6.95,4.26,2012-03-19
1079,0.5,SI2,Ideal,F,61.6,54,5.09,5.14,3.15,2012-03-19
590,0.35,SI1,Very Good,F,61,55,4.6,4.63,2.81,2012-03-19
4443,1.02,SI1,Good,E,63.1,57,6.37,6.43,4.04,2012-03-19
3218,0.52,VVS1,Ideal,D,62,57,5.15,5.17,3.2,2012-03-19
1178,0.47,VS2,Very Good,H,57.2,60,5.18,5.21,2.97,2012-03-19
9576,1.52,SI2,Ideal,E,60.1,57,7.53,7.49,4.51,2012-03-19
2326,0.71,VS1,Very Good,I,62.3,60,5.69,5.73,3.56,2012-03-19
12196,1.5,VS2,Very Good,G,61.2,61,7.29,7.34,4.48,2012-03-19
1874,0.7,VS2,Ideal,J,61.8,53,5.73,5.76,3.55,2012-03-19
6810,1.1,VS2,Very Good,F,61.4,58,6.63,6.73,4.1,2012-03-19
6419,1.25,VS2,Ideal,I,62.5,56,6.87,6.92,4.31,2012-03-19
5359,1.1,SI2,Ideal,E,61.6,56,6.66,6.63,4.09,2012-03-19
2866,0.96,SI1,Premium,I,61.3,58,6.39,6.3,3.89,2012-03-19
931,0.4,VVS2,Ideal,G,62.6,57,4.68,4.75,2.95,2012-03-19
612,0.3,VS1,Ideal,F,61.5,55,4.31,4.34,2.66,2012-03-19
971,0.37,VVS2,Premium,D,60.7,59,4.63,4.66,2.82,2012-03-19
765,0.34,SI1,Premium,E,60.3,57,4.56,4.53,2.74,2012-03-19
2137,0.6,VS2,Ideal,E,62.3,53.8,5.41,5.45,3.38,2012-03-19
2107,0.7,SI2,Premium,F,61.7,62,5.69,5.65,3.5,2012-03-19
12823,1.52,SI1,Premium,D,59.5,61,7.5,7.43,4.44,2012-03-19
3824,1.03,SI2,Premium,G,63,60,6.39,6.35,4.01,2012-03-19
8442,1.2,VS1,Ideal,G,62.3,56,6.77,6.82,4.23,2012-03-19
2059,0.73,SI2,Ideal,E,59.9,57,5.87,5.82,3.5,2012-03-19
698,0.31,VS2,Premium,G,62.4,59,4.38,4.34,2.72,2012-03-19
593,0.31,SI1,Ideal,G,62.2,55,4.38,4.36,2.72,2012-03-19
8396,1.51,SI1,Ideal,I,59.4,61,7.52,7.46,4.45,2012-04-06
1597,0.58,SI1,Ideal,D,62,54,5.36,5.39,3.33,2012-04-06
928,0.33,VS2,Premium,E,61.7,60,4.45,4.4,2.73,2012-04-06
4047,0.72,VS1,Ideal,D,61.7,56,5.77,5.81,3.57,2012-04-06
